"study","term","estimate","std_error","z","p"
"sweep_interaction","(Intercept)",-0.75103848835712,0.299866185292371,-2.5045787927867,0.0122597295175062
"sweep_interaction","ratio_f0.1",1.37940774713752,0.387466325892983,3.56007130157293,0.000370754113038052
"sweep_interaction","ratio_f0.2",0.410568694486306,0.382442133448757,1.07354461911378,0.283026830392093
"sweep_interaction","ratio_f0.3",-0.64798671354402,0.405417801568102,-1.59831835463982,0.109972144569701
"sweep_interaction","ratio_f0.4",0.629463501829919,0.381832839603292,1.64853159954472,0.0992436318077361
"sweep_interaction","ratio_f0.5",0.959746205173948,0.380743501778871,2.5207159168572,0.0117116361383449
"sweep_interaction","ratio_f0.6",0.698702016761835,0.381747632668739,1.83027203568315,0.0672092707808566
"sweep_interaction","ratio_f0.7",-0.156163234654486,0.385029536914888,-0.405587674924293,0.685045586346561
"sweep_interaction","ratio_f0.8",-0.225958260506886,0.38720378389662,-0.583564184814927,0.559513562230758
"sweep_interaction","ratio_f0.9",-0.475909406527839,0.396274861840962,-1.20095785111607,0.229767551553278
"sweep_interaction","ratio_f1",-0.602367043161118,0.404683901461989,-1.48848778264953,0.136622301756513
"sweep_interaction","datasetkmnist",0.688293606740262,0.378288020233231,1.81949617731986,0.0688357654927074
"sweep_interaction","datasetmnist",0.794772818262175,0.380421471586,2.08919022091135,0.0366906033726558
"sweep_interaction","datasetnotmnist",1.02019828779228,0.380189938075577,2.68339107803921,0.00728797110357609
"sweep_interaction","ratio_f0.1:datasetkmnist",-0.863493415984774,0.539892315364785,-1.59938082356543,0.109736010586312
"sweep_interaction","ratio_f0.2:datasetkmnist",-0.208768556511351,0.534342541620879,-0.390701732035168,0.696017718448718
"sweep_interaction","ratio_f0.3:datasetkmnist",-0.553286413292717,0.566597242434713,-0.976507423359849,0.328813071025788
"sweep_interaction","ratio_f0.4:datasetkmnist",-0.844974938028292,0.535666906785551,-1.57742605959895,0.114697523121752
"sweep_interaction","ratio_f0.5:datasetkmnist",-0.91471206051241,0.532937599092774,-1.71635865450202,0.0860964190141609
"sweep_interaction","ratio_f0.6:datasetkmnist",-1.16325140373607,0.533693347238664,-2.17962507824906,0.0292852642941893
"sweep_interaction","ratio_f0.7:datasetkmnist",-0.687432595935773,0.541292917892005,-1.26998261609054,0.204090822500018
"sweep_interaction","ratio_f0.8:datasetkmnist",-0.326528924639259,0.538934230773545,-0.60587898484493,0.544595115349124
"sweep_interaction","ratio_f0.9:datasetkmnist",0.204354277483761,0.545236937672234,0.374799033895623,0.707809932824747
"sweep_interaction","ratio_f1:datasetkmnist",-0.346606535425155,0.558567298661859,-0.620527797197418,0.534910359058492
"sweep_interaction","ratio_f0.1:datasetmnist",-0.328792283984012,0.552842270022404,-0.594730724860615,0.55202348053834
"sweep_interaction","ratio_f0.2:datasetmnist",0.694670581206531,0.551236479204826,1.26020429962947,0.207595672204447
"sweep_interaction","ratio_f0.3:datasetmnist",-0.670068591282192,0.570720064603955,-1.17407575594382,0.240364683316657
"sweep_interaction","ratio_f0.4:datasetmnist",-2.20428034539411,0.566181126071365,-3.89324236342747,9.89132427709008e-05
"sweep_interaction","ratio_f0.5:datasetmnist",-2.8024994990241,0.574008114412445,-4.88233428876303,1.04837331400221e-06
"sweep_interaction","ratio_f0.6:datasetmnist",-1.92144343902024,0.544410689833839,-3.52940064348606,0.000416502065742943
"sweep_interaction","ratio_f0.7:datasetmnist",-1.0870335134117,0.547545902528812,-1.98528289297992,0.047113006239586
"sweep_interaction","ratio_f0.8:datasetmnist",-0.515377171718155,0.535701396320163,-0.962060534578371,0.336019196952833
"sweep_interaction","ratio_f0.9:datasetmnist",-0.279744942533451,0.542515249010432,-0.515644386113969,0.606102803649503
"sweep_interaction","ratio_f1:datasetmnist",0.824634519280047,0.547970535760893,1.50488843005945,0.132352763385018
"sweep_interaction","ratio_f0.1:datasetnotmnist",-1.30277587664214,0.536158244250143,-2.42983464418077,0.0151057127506555
"sweep_interaction","ratio_f0.2:datasetnotmnist",-2.48152257564195,0.57554739995785,-4.3115868055762,1.62087117041209e-05
"sweep_interaction","ratio_f0.3:datasetnotmnist",0.974569956189513,0.555291546079052,1.75505995556931,0.0792490529435267
"sweep_interaction","ratio_f0.4:datasetnotmnist",-0.513260115770478,0.53647441576877,-0.956728038996927,0.33870454191458
"sweep_interaction","ratio_f0.5:datasetnotmnist",-1.75701137923772,0.532422794364687,-3.30003034775075,0.000966743737817091
"sweep_interaction","ratio_f0.6:datasetnotmnist",-2.51582533917349,0.564335236584056,-4.45803341007356,8.27150121301666e-06
"sweep_interaction","ratio_f0.7:datasetnotmnist",-1.58405969325389,0.558292488175047,-2.83732940493591,0.00454926504228041
"sweep_interaction","ratio_f0.8:datasetnotmnist",-1.98571443700946,0.584403189790677,-3.39785010023767,0.00067917623428017
"sweep_interaction","ratio_f0.9:datasetnotmnist",-1.73576337111444,0.590371233691,-2.94012186241265,0.00328083184904632
"sweep_interaction","ratio_f1:datasetnotmnist",-1.60930884003041,0.59570809095549,-2.70150576173834,0.00690262843615511
