"study","term","estimate","std_error","z","p"
"ablation_full","(Intercept)",0.108192776516439,0.0882055527290282,1.22659824885189,0.219973627711155
"ablation_full","downscaleon",1.29099273014389,0.14094752496204,9.15938559752345,5.21936272260179e-20
"ablation_full","noiseon",-0.0243095468174635,0.124705627824027,-0.194935443104194,0.845443486826802
"ablation_full","stdpon",-2.05106799764661,0.158300450507517,-12.9568045515399,2.1501949543357e-38
"ablation_full","suppresson",0.15940891910995,0.125200179325561,1.2732323545275,0.202935602695663
"ablation_full","downscaleon:noiseon",0.0132334001404311,0.199073801082582,0.0664748453511547,0.946999783904562
"ablation_full","downscaleon:stdpon",1.91862659392907,0.219864785215592,8.72639332418666,2.62923124292011e-18
"ablation_full","noiseon:stdpon",0.0243095551650477,0.223719839317767,0.108660703669284,0.913471611170244
"ablation_full","downscaleon:suppresson",-0.222109521133296,0.198503405321793,-1.11892045767797,0.263174074541925
"ablation_full","noiseon:suppresson",-0.0708171792186051,0.176807636465727,-0.400532356148161,0.688764456795712
"ablation_full","stdpon:suppresson",0.0844764289657009,0.217944085460491,0.387605971445437,0.69830764918784
"ablation_full","downscaleon:noiseon:stdpon",-0.104188325431362,0.309867228092062,-0.336235380788339,0.736693374448639
"ablation_full","downscaleon:noiseon:suppresson",0.165017852435509,0.28145046992323,0.586312229219302,0.557665714412553
"ablation_full","downscaleon:stdpon:suppresson",-0.125677254836544,0.30503416101993,-0.412010426689005,0.68033178089428
"ablation_full","noiseon:stdpon:suppresson",-0.17306822000144,0.312385787035767,-0.554020788345357,0.579564618793909
"ablation_full","downscaleon:noiseon:stdpon:suppresson",0.178479122475925,0.434388961521209,0.410873982273628,0.681164941137381
