"study","term","estimate","std_error","z","p"
"ablation_downscale_on","(Intercept)",1.41501073103233,0.0444185837684993,31.8562775077901,1.0775323098341e-222
"ablation_downscale_on","noiseon",-0.0111127878932411,0.0598107858944677,-0.185799061608201,0.852602340448425
"ablation_downscale_on","stdpon",-0.134386026148451,0.0587830367294988,-2.28613616487446,0.022246293841685
"ablation_downscale_on","suppresson",-0.0632824240774161,0.059358613655731,-1.06610347142611,0.28637687054902
"ablation_downscale_on","noiseon:stdpon",-0.0812120649091932,0.0825553745572243,-0.9837283804327,0.325249081703199
"ablation_downscale_on","noiseon:suppresson",0.0945489481716433,0.0843994985468741,1.1202548569543,0.262605173277551
"ablation_downscale_on","stdpon:suppresson",-0.0419610726869233,0.0821613600639427,-0.510715409947776,0.609550348672046
"ablation_downscale_on","noiseon:stdpon:suppresson",0.00634887664129427,0.116200289373942,0.0546373565461877,0.95642737697466
