cell_id,sleep_rate,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_window,num_steps,check_sleep_interval,sleep_decay_rate,elapsed_s,returncode
0,0.0,mnist,42,0.5428571428571428,0.8904299583911235,0.569060773480663,,0,100,3500,,136.354268,0
1,0.0,mnist,43,0.5706521739130435,0.8647887323943662,0.5561797752808989,,0,100,3500,,447.208797,0
2,0.0,mnist,44,0.3559322033898305,0.6870653685674548,0.4111111111111111,,0,100,3500,,628.637486,0
3,0.0,mnist,45,0.5271739130434783,0.7223756906077348,0.5164835164835165,,0,100,3500,,477.117234,0
4,0.0,mnist,46,0.5652173913043478,0.8543689320388349,0.6298342541436464,,0,100,3500,,205.593224,0
5,0.0,fmnist,42,0.3442622950819672,0.3575418994413408,0.33519553072625696,,0,100,3500,,140.105422,0
6,0.0,fmnist,43,0.12571428571428572,0.13793103448275862,0.09340659340659341,,0,100,3500,,195.034376,0
7,0.0,fmnist,44,0.29444444444444445,0.37447988904299584,0.39779005524861877,,0,100,3500,,216.739608,0
8,0.0,fmnist,45,0.5706521739130435,0.6717877094972067,0.5,,0,100,3500,,455.001375,0
9,0.0,fmnist,46,0.2569832402234637,0.3632596685082873,0.3370165745856354,,0,100,3500,,229.492765,0
10,0.0,kmnist,42,0.5792349726775956,0.6800554016620498,0.56353591160221,,0,100,3500,,217.6808,0
11,0.0,kmnist,43,0.4602272727272727,0.49860335195530725,0.43333333333333335,,0,100,3500,,233.8963,0
12,0.0,kmnist,44,0.42857142857142855,0.4755244755244755,0.46368715083798884,,0,100,3500,,301.928118,0
13,0.0,kmnist,45,0.478494623655914,0.7033898305084746,0.536723163841808,,0,100,3500,,246.932352,0
14,0.0,kmnist,46,0.46994535519125685,0.6016830294530154,0.5139664804469274,,0,100,3500,,420.424325,0
15,0.0,notmnist,42,0.6416184971098265,0.9902506963788301,0.5388888888888889,,0,100,3500,,144.615354,0
16,0.0,notmnist,43,0.592391304347826,0.9887005649717514,0.5875706214689266,,0,100,3500,,251.526614,0
17,0.0,notmnist,44,0.559322033898305,0.9986149584487535,0.6022099447513812,,0,100,3500,,261.436323,0
18,0.0,notmnist,45,0.5257142857142857,0.9986013986013986,0.5810055865921788,,0,100,3500,,264.1311,0
19,0.0,notmnist,46,0.5363128491620112,0.9930939226519337,0.5248618784530387,,0,100,3500,,258.209448,0
20,0.1,mnist,42,0.7657142857142857,0.9336099585062241,0.7569060773480663,,350,100,3500,0.9999576013637494,191.828332,0
21,0.1,mnist,43,0.7336956521739131,0.9087078651685393,0.7584269662921348,,350,100,3500,0.9999576013637494,276.720855,0
22,0.1,mnist,44,0.7740112994350282,0.9238227146814404,0.7790055248618785,,350,100,3500,0.9999576013637494,164.533894,0
23,0.1,mnist,45,0.7663043478260869,0.921595598349381,0.7692307692307693,,350,100,3500,0.9999576013637494,414.571342,0
24,0.1,mnist,46,0.7880434782608695,0.8948824343015215,0.7403314917127072,,350,100,3500,0.9999576013637494,170.849137,0
25,0.1,fmnist,42,0.6449704142011834,0.708507670850767,0.6444444444444445,,350,100,3500,0.9999576013637494,192.096866,0
26,0.1,fmnist,43,0.7257142857142858,0.7414030261348006,0.6428571428571429,,350,100,3500,0.9999576013637494,165.672037,0
27,0.1,fmnist,44,0.5888888888888889,0.6675862068965517,0.5769230769230769,,350,100,3500,0.9999576013637494,177.797082,0
28,0.1,fmnist,45,0.6684782608695652,0.6958333333333333,0.6353591160220995,,350,100,3500,0.9999576013637494,171.608349,0
29,0.1,fmnist,46,0.664804469273743,0.6740331491712708,0.6153846153846154,,350,100,3500,0.9999576013637494,223.178364,0
30,0.1,kmnist,42,0.592391304347826,0.7295081967213115,0.5380434782608695,,350,100,3500,0.9999576013637494,230.983001,0
31,0.1,kmnist,43,0.6306818181818182,0.7371349095966621,0.5944444444444444,,350,100,3500,0.9999576013637494,257.127624,0
32,0.1,kmnist,44,0.5824175824175825,0.7381615598885793,0.6333333333333333,,350,100,3500,0.9999576013637494,164.646498,0
33,0.1,kmnist,45,0.6559139784946236,0.7531734837799718,0.6460674157303371,,350,100,3500,0.9999576013637494,172.996262,0
34,0.1,kmnist,46,0.6229508196721312,0.7262569832402235,0.6111111111111112,,350,100,3500,0.9999576013637494,151.567237,0
35,0.1,notmnist,42,0.7032967032967034,0.8214285714285714,0.6721311475409836,,350,100,3500,0.9999576013637494,210.361378,0
36,0.1,notmnist,43,0.125,0.13098591549295774,0.08426966292134831,,350,100,3500,0.9999576013637494,342.212162,0
