cell_id,code,dataset,seed,downscale,noise,stdp,suppress,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_rate,elapsed_s,returncode
0,none,mnist,42,False,False,False,False,0.5428571428571428,0.8904299583911235,0.569060773480663,,0.0,194.91671,0
1,none,mnist,43,False,False,False,False,0.5706521739130435,0.8647887323943662,0.5561797752808989,,0.0,240.097738,0
2,none,mnist,44,False,False,False,False,0.3559322033898305,0.6870653685674548,0.4111111111111111,,0.0,364.059122,0
3,none,mnist,45,False,False,False,False,0.5271739130434783,0.7223756906077348,0.5164835164835165,,0.0,197.551952,0
4,none,mnist,46,False,False,False,False,0.5652173913043478,0.8543689320388349,0.6298342541436464,,0.0,200.374124,0
5,1111,mnist,42,True,True,True,True,0.7657142857142857,0.9336099585062241,0.7569060773480663,,0.1,178.536082,0
6,1111,mnist,43,True,True,True,True,0.7336956521739131,0.9087078651685393,0.7584269662921348,,0.1,164.862265,0
7,1111,mnist,44,True,True,True,True,0.7740112994350282,0.9238227146814404,0.7790055248618785,,0.1,197.326966,0
8,1111,mnist,45,True,True,True,True,0.7663043478260869,0.921595598349381,0.7692307692307693,,0.1,244.706169,0
9,1111,mnist,46,True,True,True,True,0.7880434782608695,0.8948824343015215,0.7403314917127072,,0.1,152.576404,0
10,1110,mnist,42,True,True,True,False,0.7657142857142857,0.9391424619640387,0.7513812154696132,,0.1,158.615996,0
11,1110,mnist,43,True,True,True,False,0.7717391304347826,0.9073033707865169,0.7696629213483146,,0.1,296.292592,0
12,1110,mnist,44,True,True,True,False,0.7796610169491526,0.9224376731301939,0.8011049723756906,,0.1,159.022174,0
13,1110,mnist,45,True,True,True,False,0.7554347826086957,0.9243466299862448,0.7967032967032966,,0.1,173.428258,0
14,1110,mnist,46,True,True,True,False,0.7608695652173914,0.8921161825726142,0.7458563535911602,,0.1,334.013742,0
15,1101,mnist,42,True,True,False,True,0.8,0.91701244813278,0.7845303867403315,,0.1,144.821633,0
16,1101,mnist,43,True,True,False,True,0.8206521739130435,0.8974719101123596,0.7921348314606742,,0.1,137.643599,0
17,1101,mnist,44,True,True,False,True,0.8192090395480226,0.9127423822714681,0.8121546961325967,,0.1,136.903084,0
18,1101,mnist,45,True,True,False,True,0.7717391304347826,0.9009628610729024,0.7747252747252747,,0.1,161.477728,0
19,1101,mnist,46,True,True,False,True,0.8260869565217391,0.9059474412171508,0.7679558011049724,,0.1,142.979933,0
20,1011,mnist,42,True,False,True,True,0.7485714285714286,0.9266943291839558,0.7624309392265194,,0.1,184.542968,0
21,1011,mnist,43,True,False,True,True,0.7554347826086957,0.9002808988764045,0.7640449438202247,,0.1,180.344771,0
22,1011,mnist,44,True,False,True,True,0.7627118644067796,0.9168975069252078,0.8066298342541437,,0.1,192.540556,0
23,1011,mnist,45,True,False,True,True,0.7717391304347826,0.9298486932599724,0.8076923076923077,,0.1,174.446869,0
24,1011,mnist,46,True,False,True,True,0.782608695652174,0.9004149377593361,0.7292817679558011,,0.1,207.734268,0
25,0111,mnist,42,False,True,True,True,0.1657142857142857,0.12586445366528354,0.10497237569060773,,0.1,217.194498,0
26,0111,mnist,43,False,True,True,True,0.08152173913043478,0.125,0.09550561797752809,,0.1,394.491728,0
27,0111,mnist,44,False,True,True,True,0.12429378531073447,0.1149584487534626,0.13812154696132597,,0.1,191.203326,0
28,0111,mnist,45,False,True,True,True,0.11956521739130435,0.1155433287482806,0.12637362637362637,,0.1,189.014826,0
